human_gene,marker_class,marker_subclass,pathway_sources,n_external_sources,n_zebrafish_orthologs_in_all_genes
CDK1,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,1
CENPF,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,1
CENPK,proliferation,G2M_phase,Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,1,1
CKAP2L,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
CKAP5,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,1
CKS1B,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,1
CKS2,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
CTCF,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
DLGAP5,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
ECT2,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
G2E3,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
GAS2L3,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
GTSE1,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,1
HMGB2,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,2
HMMR,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,1
