run,growth_scaling,epsilon,tau_a,tau_b,source_hpf,target_hpf,converged,cost,posterior_growth_spearman_vs_saved_primary,cell_source_mass_spearman_vs_saved_primary,type_joint_mass_l1_vs_saved_primary,type_source_mass_max_abs_vs_saved_primary,type_conditional_js_vs_saved_primary
epsilon_0.1,5.0,0.1,0.9,0.9,72.0,120.0,True,0.3118317425251007,0.3629685657844564,0.9205469519629639,0.30584465619072054,0.07118377915411173,0.025042901827549997
epsilon_0.1,5.0,0.1,0.9,0.9,120.0,240.0,True,0.2519197463989258,0.3629685657844564,0.6464025721605553,0.4439340105801105,0.060946975510112106,0.056732968284135
tau_0.8,5.0,0.01,0.8,0.8,12.0,14.0,True,0.06797356903553009,0.9686671507611774,0.8614035087719297,0.1711701584465679,0.08005133349313914,0.005999689701111978
tau_0.8,5.0,0.01,0.8,0.8,14.0,16.0,True,0.06945204734802246,0.9686671507611774,0.9775750565224249,0.1507341151055036,0.010981658273136907,0.009180163958635109
tau_0.8,5.0,0.01,0.8,0.8,16.0,19.0,True,0.06026309356093407,0.9686671507611774,0.9622544745884403,0.1578558643714454,0.03491253900100827,0.007590136463055956
tau_0.8,5.0,0.01,0.8,0.8,19.0,24.0,True,0.05883394554257393,0.9686671507611774,0.9832035053554042,0.21089511272472466,0.0644009007587284,0.007555052883274224
tau_0.8,5.0,0.01,0.8,0.8,24.0,48.0,True,0.059586841613054276,0.9686671507611774,0.986118328800479,0.20009955729786244,0.07930828513936242,0.004722394077065865
tau_0.8,5.0,0.01,0.8,0.8,48.0,72.0,True,0.036179739981889725,0.9686671507611774,0.9734973426844593,0.16124836182103344,0.06542729378521106,0.00372337760359509
tau_0.8,5.0,0.01,0.8,0.8,72.0,120.0,True,0.02933483198285103,0.9686671507611774,0.9912718853014711,0.1339125002733485,0.035464309817408085,0.0017840779810020847
tau_0.8,5.0,0.01,0.8,0.8,120.0,240.0,True,0.03204157575964928,0.9686671507611774,0.8963243819133269,0.12405040888219362,0.04643627268493089,0.0023022842087889717
tau_0.95,5.0,0.01,0.95,0.95,12.0,14.0,True,0.20820187032222748,0.9764828501513506,0.8543859649122807,0.1637593588013131,0.048246641324194595,0.009990079008961693
tau_0.95,5.0,0.01,0.95,0.95,14.0,16.0,True,0.17707709968090057,0.9764828501513506,0.9925600715074399,0.13668747045384638,0.014489108911535029,0.013728486654818229
tau_0.95,5.0,0.01,0.95,0.95,16.0,19.0,True,0.1532128006219864,0.9764828501513506,0.9565143200816825,0.16597670962224254,0.026557642333156856,0.009536570691845339
tau_0.95,5.0,0.01,0.95,0.95,19.0,24.0,True,0.18961644172668457,0.9764828501513506,0.956475170399221,0.17255343640087992,0.050042623347790194,0.004036295607576063
tau_0.95,5.0,0.01,0.95,0.95,24.0,48.0,True,0.20792025327682495,0.9764828501513506,0.9877807663174004,0.25093492720518795,0.10917244860145373,0.001255507029085584
tau_0.95,5.0,0.01,0.95,0.95,48.0,72.0,True,0.10263194143772125,0.9764828501513506,0.9238200834177995,0.1228731111657511,0.04982252519674746,0.0011964295398739855
tau_0.95,5.0,0.01,0.95,0.95,72.0,120.0,True,0.09949466586112976,0.9764828501513506,0.9836741708197286,0.08671853228048283,0.024910708632431555,0.0007948801177223358
tau_0.95,5.0,0.01,0.95,0.95,120.0,240.0,True,0.09101128578186035,0.9764828501513506,0.9066528657044404,0.09074075609940857,0.0353518030218711,0.000974565215038762
tau_1,5.0,0.01,1.0,1.0,12.0,14.0,True,0.8141143321990967,-0.2762319186904571,0.04736842105263158,1.1147333777968733,0.043398160386881324,0.3323388897872585
tau_1,5.0,0.01,1.0,1.0,14.0,16.0,True,0.6831537485122681,-0.2762319186904571,-0.07205951942794048,0.581743664960514,0.16980325000002677,0.08751010113392854
tau_1,5.0,0.01,1.0,1.0,16.0,19.0,True,0.4460260272026062,-0.2762319186904571,-0.4651716405037088,0.513702048291137,0.083904229478953,0.09259112544901409
tau_1,5.0,0.01,1.0,1.0,19.0,24.0,True,0.8622866868972778,-0.2762319186904571,-0.1517526777020448,0.7692345399618059,0.07877231755333026,0.16850737891830858
tau_1,5.0,0.01,1.0,1.0,24.0,48.0,True,0.7021492719650269,-0.2762319186904571,-0.14015817678482784,1.0994533720905242,0.4473167182324356,0.1309260817235263
tau_1,5.0,0.01,1.0,1.0,48.0,72.0,True,0.4800682067871094,-0.2762319186904571,0.5247538125444503,0.5768016001774101,0.07448670611322739,0.04798875966398766
tau_1,5.0,0.01,1.0,1.0,72.0,120.0,True,0.8030581474304199,-0.2762319186904571,0.03221608008574933,0.6103354087427522,0.28383101603700706,0.04567564225082738
tau_1,5.0,0.01,1.0,1.0,120.0,240.0,True,0.5952495336532593,-0.2762319186904571,0.4863932213658738,0.5389747096440459,0.02534627440992504,0.0883503354428106
