official_fine_cell_type,gene,n_independent_fish,mean_within_fish_log2cpm_difference,sd_within_fish_log2cpm_difference,t_statistic,p_value,fdr_bh
erythroblast,mllt3,21,2.200320650814445,1.3351396639767195,7.552120731324112,2.8056218674018234e-07,7.390212224666107e-06
erythroblast,plac8l1,21,2.1991233348359978,1.7581763946637727,5.731876036452468,1.3103520071736913e-05,0.00016876459527330047
erythroblast,dazap1,21,2.1781497201580104,1.5080849810167272,6.61868269574674,1.908343610987648e-06,3.410775698204959e-05
erythroblast,prkab1a,21,2.1773356761250673,1.3164894419982047,7.579100318515566,2.6590102688655676e-07,7.089402014220296e-06
erythroblast,nprl3,21,2.17024530028295,1.585033449898399,6.2745132386993365,3.983951221179468e-06,6.235008656763189e-05
erythroblast,si:ch211-217a12.1,21,2.15257112338967,1.9815201997755727,4.978157736078858,7.227034573855459e-05,0.0007013572463166768
erythroblast,lmo2,21,2.139231961524479,1.8803953793933204,5.213367624801135,4.216863381671438e-05,0.00044484521568515433
erythroblast,prdx2,21,2.1389348835145667,0.9753906140374606,10.049134028175718,2.9132918249052685e-09,2.4592664989623397e-07
erythroblast,pdgfbb,21,2.138502006455537,1.4446198410353526,6.78368594977481,1.3483099064614612e-06,2.5723840252969533e-05
erythroblast,aspg,21,2.1337680840145468,1.7687320256899837,5.528340991430337,2.066254360414589e-05,0.0002450710527229057
erythroblast,jak2a,21,2.110643242252659,0.8491497605221365,11.39043178522769,3.396247004694723e-10,6.69984462814663e-08
erythroblast,ptger3,21,2.101640339594007,1.5540536782163998,6.197292973055941,4.709123852825069e-06,7.137834966975456e-05
erythroblast,CABZ01069040.1,21,2.098790380229891,1.9064040921516494,5.04502997283933,6.197738259177012e-05,0.0006158455238700519
erythroblast,drll.1,21,2.094073737293087,1.6448144985021125,5.834245394057314,1.0439270657540559e-05,0.00013998112927156658
erythroblast,col6a1,21,2.086813890359849,1.81153729784062,5.278932222515378,3.632048496581351e-05,0.00039227450599644116
erythroblast,eif2ak1,21,2.086465507401376,1.1365862265986901,8.41237197743838,5.3160993402395776e-08,2.0658241557998984e-06
erythroblast,kcnn4,21,2.061771092509786,1.9424660870058357,4.864034517926442,9.401203084569696e-05,0.0008743329200290192
erythroblast,foxo3a,21,2.056311147774604,1.5841838218118374,5.948300542724452,8.11539732945127e-06,0.00011406041277330715
erythroblast,sh3bp5b,21,2.0428406343275634,1.0679219554502848,8.76606365452093,2.759314932234174e-08,1.2589352235006504e-06
erythroblast,hsp70.1,21,2.0220732451459686,2.2133880625949223,4.1864794805854375,0.0004548727877548984,0.0032728651801876836
erythroblast,tfr2,21,2.0115681107432484,1.3034318184742677,7.072225031172378,7.408902048715264e-07,1.5844219649042637e-05
erythroblast,si:ch211-214c7.4,21,2.010546863603662,1.4013981313614068,6.574493703491153,2.095677194836642e-06,3.691317817564358e-05
erythroblast,impdh2,21,2.007453372728981,1.2840595816543252,7.164236898394526,6.135516712606388e-07,1.3640834765831139e-05
erythroblast,slc25a39,21,2.0051480820931404,1.1860205026991082,7.747541332443992,1.906143363608147e-07,5.481660710753618e-06
erythroblast,gsdmeb,21,1.986811417222578,1.0894141620342734,8.35744019888968,5.8946077937678e-08,2.252347699471025e-06
erythroblast,slc25a18,21,1.98098953951754,1.4194271980401305,6.395561905738672,3.069934334374087e-06,5.034288611091038e-05
erythroblast,pbx1b,21,1.9743371198199802,1.6307221514321568,5.548185686317123,1.976115051282985e-05,0.0002372635292426639
erythroblast,sun1,21,1.97251739976202,1.731033759606218,5.221856733795416,4.136039586650572e-05,0.0004379476883819314
erythroblast,si:ch1073-416d2.4,21,1.968990244239092,1.9420647776572095,4.6461101301369,0.00015573147961102238,0.0013380811597646098
erythroblast,aplnrb,21,1.9548416056122462,1.9734456318616354,4.539374931204194,0.00019960274211272677,0.0016429946684256402
erythroblast,si:ch73-60h1.1,21,1.954118781456861,1.664906182446172,5.378619724868764,2.8967591242914984e-05,0.00032651021600220735
erythroblast,si:ch211-244o22.2,21,1.9535106905146904,1.2690543420871145,7.054158607161126,7.689417274855045e-07,1.6265162909456295e-05
erythroblast,mthfd2,21,1.9446695867820325,1.090180363005574,8.174423137230544,8.339880191347584e-08,2.9599561843417976e-06
erythroblast,si:dkey-98f17.5,21,1.931357633125992,1.2775821525284312,6.927611293187386,9.987972747122865e-07,2.0178205619831795e-05
erythroblast,pbx1a,21,1.9255282932241857,1.6590257834970636,5.318711284811429,3.318179967590753e-05,0.0003651595162890185
erythroblast,zgc:153018,21,1.9090815849194027,1.6598842760634713,5.270554698841487,3.701915537425695e-05,0.0003985951835528805
